TEAM,COLLEGE,NAME,COLLEGE_NAME
Oklahoma City Thunder,Pittsburgh,Steven Adams,PittsburghSteven Adams
Brooklyn Nets,Texas,Jarrett Allen,TexasJarrett Allen
Phoenix Suns,Arizona,Deandre Ayton,ArizonaDeandre Ayton
Orlando Magic,Texas,Mo Bamba,TexasMo Bamba
Phoenix Suns,Washington State,Aron Baynes,Washington StateAron Baynes
Indiana Pacers,,Goga Bitadze,Goga Bitadze
Charlotte Hornets,,Bismack Biyombo,Bismack Biyombo
Denver Nuggets,Oregon,Bol Bol,OregonBol Bol
Utah Jazz,North Carolina,Tony Bradley,North CarolinaTony Bradley
Portland Trail Blazers,UCLA,Moses Brown,UCLAMoses Brown
Washington Wizards,Indiana,Thomas Bryant,IndianaThomas Bryant
Los Angeles Lakers,North Carolina-Wilmington,Devontae Cacok,North Carolina-WilmingtonDevontae Cacok
Atlanta Hawks,,Clint Capela,Clint Capela
Chicago Bulls,Duke, Wendell Carter Jr.,Duke Wendell Carter Jr.
Dallas Mavericks,Kentucky,Willie Cauley-Stein,KentuckyWillie Cauley-Stein
Houston Rockets,,Tyson Chandler,Tyson Chandler
Golden State Warriors,Washington,Marquese Chriss,WashingtonMarquese Chriss
Utah Jazz,North Carolina,Ed Davis,North CarolinaEd Davis
Atlanta Hawks,USC,Dewayne Dedmon,USCDewayne Dedmon
Memphis Grizzlies,Louisville,Gorgui Dieng,LouisvilleGorgui Dieng
Cleveland Cavaliers,Connecticut,Andre Drummond,ConnecticutAndre Drummond
Philadelphia 76ers,Kansas,Joel Embiid,KansasJoel Embiid
Boston Celtics,UCF,Tacko Fall,UCFTacko Fall
New Orleans Pelicans,Georgia Tech,Derrick Favors,Georgia TechDerrick Favors
Atlanta Hawks,Maryland,Bruno Fernando,MarylandBruno Fernando
Toronto Raptors,,Marc Gasol,Marc Gasol
New York Knicks,USC,Taj Gibson,USCTaj Gibson
Sacramento Kings,Duke,Harry Giles III ,DukeHarry Giles III 
Utah Jazz,,Rudy Gobert,Rudy Gobert
New Orleans Pelicans,Texas,Jaxson Hayes,TexasJaxson Hayes
Toronto Raptors,Miami (FL),Dewan Hernandez,Miami (FL)Dewan Hernandez
Charlotte Hornets,,Willy Hernangomez,Willy Hernangomez
Sacramento Kings,Bowling Green,Richaun Holmes,Bowling GreenRichaun Holmes
Los Angeles Lakers,,Dwight Howard,Dwight Howard
Toronto Raptors,,Serge Ibaka,Serge Ibaka
Denver Nuggets,,Nikola Jokic,Nikola Jokic
Atlanta Hawks,Vanderbilt,Damian Jones,VanderbiltDamian Jones
Brooklyn Nets,Texas A&M,DeAndre Jordan,Texas A&MDeAndre Jordan
Phoenix Suns,Wisconsin,Frank Kaminsky,WisconsinFrank Kaminsky
Boston Celtics,Kentucky,Enes Kanter,KentuckyEnes Kanter
Chicago Bulls,Vanderbilt,Luke Kornet,VanderbiltLuke Kornet
Sacramento Kings,Maryland,Alex Len,MarylandAlex Len
Miami Heat,Illinois,Meyers Leonard,IllinoisMeyers Leonard
Milwaukee Bucks,Stanford,Brook Lopez,StanfordBrook Lopez
Milwaukee Bucks,Stanford,Robin Lopez,StanfordRobin Lopez
San Antonio Spurs,Kentucky,Trey Lyles,KentuckyTrey Lyles
Washington Wizards,,Ian Mahinmi,Ian Mahinmi
Detroit Pistons,,Thon Maker,Thon Maker
Dallas Mavericks,,Boban Marjanovic,Boban Marjanovic
Los Angeles Lakers,Nevada,JaVale McGee,NevadaJaVale McGee
LA Clippers,Florida,Joakim Noah,FloridaJoakim Noah
Oklahoma City Thunder,Kentucky,Nerlens Noel,KentuckyNerlens Noel
Portland Trail Blazers,,Jusuf Nurkic,Jusuf Nurkic
Philadelphia 76ers,Norfolk State,Kyle O'Quinn,Norfolk StateKyle O'Quinn
New Orleans Pelicans,Duke,Jahlil Okafor,DukeJahlil Okafor
Washington Wizards,,Anzejs Pasecniks,Anzejs Pasecniks
Detroit Pistons,Creighton,Justin Patton,CreightonJustin Patton
San Antonio Spurs,Utah,Jakob Poeltl,UtahJakob Poeltl
Boston Celtics,,Vincent Poirier,Vincent Poirier
Dallas Mavericks,Stanford,Dwight Powell,StanfordDwight Powell
Minnesota Timberwolves,LSU,Naz Reid,LSUNaz Reid
New York Knicks,Western Kentucky,Mitchell Robinson,Western KentuckyMitchell Robinson
Boston Celtics,,Daniel Theis,Daniel Theis
Cleveland Cavaliers,Texas,Tristan Thompson,TexasTristan Thompson
Minnesota Timberwolves,Kentucky,Karl-Anthony Towns,KentuckyKarl-Anthony Towns
Indiana Pacers,Texas,Myles Turner,TexasMyles Turner
Memphis Grizzlies,,Jonas Valanciunas,Jonas Valanciunas
Orlando Magic,USC,Nikola Vucevic,USCNikola Vucevic
Portland Trail Blazers,Marshall,Hassan Whiteside,MarshallHassan Whiteside
Boston Celtics,Texas A&M, Robert Williams III,Texas A&M Robert Williams III
Charlotte Hornets,Indiana,Cody Zeller,IndianaCody Zeller
San Antonio Spurs,North Carolina,Tyler Zeller,North CarolinaTyler Zeller
Cleveland Cavaliers,,Ante Zizic,Ante Zizic
LA Clippers,,Ivica Zubac,Ivica Zubac
Miami Heat,Kentucky,Bam Adebayo,KentuckyBam Adebayo
San Antonio Spurs,Texas,LaMarcus Aldridge,TexasLaMarcus Aldridge
Miami Heat,Tennessee,Kyle Alexander,TennesseeKyle Alexander
Orlando Magic,Wake Forest,Al-Farouq Aminu,Wake ForestAl-Farouq Aminu
Milwaukee Bucks,,Giannis Antetokounmpo,Giannis Antetokounmpo
Los Angeles Lakers,Dayton,Kostas Antetokounmpo,DaytonKostas Antetokounmpo
Portland Trail Blazers,Syracuse,Carmelo Anthony,SyracuseCarmelo Anthony
Sacramento Kings,Duke, Marvin Bagley III,Duke Marvin Bagley III
Cleveland Cavaliers,Oregon,Jordan Bell,OregonJordan Bell
Orlando Magic,UNLV,Khem Birch,UNLVKhem Birch
Sacramento Kings,,Nemanja Bjelica,Nemanja Bjelica
Toronto Raptors,Oregon,Chris Boucher,OregonChris Boucher
Utah Jazz,Charleston,Jarrell Brantley,CharlestonJarrell Brantley
Orlando Magic,Cincinnati,Gary Clark,CincinnatiGary Clark
Brooklyn Nets,Georgia,Nicolas Claxton,GeorgiaNicolas Claxton
Atlanta Hawks,Wake Forest,John Collins,Wake ForestJohn Collins
Portland Trail Blazers,Gonzaga,Zach Collins,GonzagaZach Collins
Denver Nuggets,Iowa,Tyler Cook,IowaTyler Cook
Houston Rockets,Tennessee State,Robert Covington,Tennessee StateRobert Covington
Los Angeles Lakers,Kentucky,Anthony Davis,KentuckyAnthony Davis
Phoenix Suns,Kansas,Cheick Diallo,KansasCheick Diallo
San Antonio Spurs,Oregon State,Drew Eubanks,Oregon StateDrew Eubanks
